,Year,Tm,Player,Age,G,MP,PER
496,2005,LAC,Maurice Baker,25,1,1,0.0
497,2006,PHI,Deng Gai,23,2,5,0.0
498,2007,UTA,Louis Amundson,24,1,2,0.0
499,2007,POR,Jeremy Richardson,22,1,1,0.0
500,2008,DET,Ronald Dupree,27,1,3,0.0
501,2008,SAS,Marcus Williams,21,1,2,0.0
502,2011,POR,Jarron Collins,32,5,24,0.0
503,2011,MIL,Brian Skinner,34,2,6,0.0
504,2012,LAC,Brian Cook,31,16,121,0.0
505,2013,CHI,Louis Amundson,30,1,2,0.0
506,2014,CHI,Marquis Teague,20,19,242,0.0
507,2014,MEM,Seth Curry,23,1,4,0.0
508,2014,CHA,Justin Hamilton,23,1,4,0.0
509,2014,CHI,Ronnie Brewer,28,1,2,0.0
510,2014,NYK,Chris Smith,26,2,2,0.0
511,2016,IND,Solomon Hill,24,1,2,0.0
512,2016,UTA,Jeff Withey,25,1,1,0.0
513,1993,DET,Darrell Walker,31,9,144,0.1
514,2008,CLE,Billy Thomas,32,7,34,0.1
515,2011,PHI,Craig Brackins,23,3,33,0.1
516,2012,PHI,Xavier Silas,24,2,39,0.1
517,2013,MEM,Josh Selby,21,10,59,0.1
518,2014,LAC,Stephen Jackson,35,9,107,0.1
519,2016,HOU,K.J. McDaniels,22,3,6,0.1
520,1980,IND,Tony Zeno,22,8,59,0.2
521,1987,HOU,Conner Henry,23,18,92,0.2
522,1995,ATL,Tom Hovasse,28,2,4,0.2
523,1996,BOS,Charles Claxton,25,3,7,0.2
524,1999,MIL,Jerald Honeycutt,24,3,12,0.2
525,2000,DET,Eric Montross,28,51,332,0.2
526,2000,CLE,Donny Marshall,27,6,39,0.2
527,2008,MIN,Mark Madsen,32,20,151,0.2
528,2013,WAS,Jannero Pargo,33,7,102,0.2
529,2014,CHI,Erik Murphy,23,24,62,0.2
530,2014,OKC,Ryan Gomes,31,5,34,0.2
531,2016,POR,Noah Vonleh,20,8,108,0.2
532,1991,PHI,Robert Reid,35,3,37,0.3
533,1995,PHO,Antonio Lang,22,12,53,0.3
534,2002,DAL,Tariq Abdul-Wahad,27,4,24,0.3
535,2004,SAS,Anthony Carter,28,5,87,0.3
536,2005,CHI,Frank Williams,24,9,71,0.3
537,2010,WAS,Quinton Ross,28,25,261,0.3
538,2011,CHA,Joel Przybilla,31,5,74,0.3
539,1995,PHI,Alphonso Ford,23,5,98,0.4
540,1998,TOR,Tim Kempton,34,5,32,0.4
541,1999,HOU,Rodrick Rhodes,25,3,33,0.4
542,2005,IND,Britton Johnsen,25,6,87,0.4
543,2009,TOR,Jake Voskuhl,31,38,240,0.4
544,2009,SAS,Desmon Farmer,27,3,54,0.4
545,2009,TOR,Hassan Adams,24,12,52,0.4
546,2010,CLE,Darnell Jackson,24,27,114,0.4
547,2010,CHI,Devin Brown,31,11,93,0.4
548,2010,PHI,Primoz Brezec,30,7,36,0.4
549,2011,MEM,Acie Law,26,11,94,0.4
550,2012,MEM,Lester Hudson,27,3,20,0.4
551,1984,SEA,Charles Bradley,24,8,39,0.5
552,1985,LAC,Dale Wilkinson,24,10,38,0.5
553,1985,SEA,Danny Young,22,3,26,0.5
554,1999,NJN,William Cunningham,24,15,161,0.5
555,1999,NJN,Rony Seikaly,33,9,88,0.5
556,2000,NYK,DeMarco Johnson,24,5,37,0.5
557,2004,ORL,Pat Garrity,27,2,22,0.5
558,2008,SAC,Darryl Watkins,23,9,71,0.5
559,2008,SEA,Ira Newble,33,2,17,0.5
560,2009,DAL,Matt Carroll,28,21,141,0.5
561,2011,TOR,Ronald Dupree,30,3,13,0.5
562,2014,NOP,Lance Thomas,25,5,42,0.5
563,2014,BOS,Vander Blue,21,3,15,0.5
564,2015,NOP,Gal Mekel,26,4,43,0.5
565,1978,PHI,Glenn Mosley,22,6,21,0.6
566,1978,BOS,Bob Bigelow,24,4,17,0.6
567,1978,BOS,Steve Kuberski,30,3,14,0.6
568,1990,LAC,Carlton McKinney,25,7,104,0.6
569,1994,NYK,Gerald Paddio,28,3,8,0.6
570,1997,MIL,Keith Tower,26,5,72,0.6
571,1999,CHH,Willie Burton,30,3,18,0.6
572,2005,HOU,Moochie Norris,31,6,39,0.6
573,2006,PHO,Sharrod Ford,24,3,13,0.6
574,2011,SAS,Garrett Temple,24,3,21,0.6
575,2011,NOH,Patrick Ewing,26,7,19,0.6
576,1991,GSW,Bart Kofoed,26,5,21,0.7
577,1991,MIN,Jim Thomas,30,3,14,0.7
578,1996,LAL,Frankie King,23,6,20,0.7
579,1998,ATL,Donald Whiteside,28,3,16,0.7
580,1999,BOS,Dwayne Schintzius,30,16,67,0.7
581,2006,NJN,Antoine Wright,21,39,370,0.7
582,2010,OKC,Byron Mullens,20,13,54,0.7
583,2011,NYK,Renaldo Balkman,26,3,18,0.7
584,2013,NYK,Quentin Richardson,32,1,29,0.7
585,2016,CHO,Brian Roberts,30,4,29,0.7
586,2016,WAS,Kelly Oubre,20,3,16,0.7
587,1994,MIA,Gary Alexander,24,4,12,0.8
588,1996,CHH,Corey Beck,24,5,33,0.8
589,1997,IND,LaSalle Thompson,35,9,35,0.8
590,1999,VAN,Rodrick Rhodes,25,10,123,0.8
591,2001,NJN,Jamel Thomas,27,5,56,0.8
592,2002,NYK,Felton Spencer,34,32,248,0.8
593,2011,POR,Fabricio Oberto,35,5,45,0.8
594,2015,GSW,Brandon Rush,29,33,271,0.8
595,1982,NJN,David Burns,23,3,34,0.9
596,1984,CLE,Geoff Crompton,28,7,23,0.9
597,1988,MIL,Charles Davis,29,5,39,0.9
598,1997,DEN,Vincent Askew,30,1,9,0.9
599,2001,NYK,Travis Knight,26,45,256,0.9
600,2001,PHI,Roshown McLeod,25,1,15,0.9
601,2004,CLE,Bruno Sundov,23,4,29,0.9
602,2005,MEM,Andre Emmett,22,8,28,0.9
603,2007,MEM,Scott Padgett,30,7,33,0.9
604,2010,ATL,Jason Collins,31,24,115,0.9
605,1982,NYK,DeWayne Scales,23,3,24,1.0
606,1982,SDC,Rock Lee,26,2,10,1.0
607,1985,WSB,Charles Davis,26,4,28,1.0
608,1989,CHI,Dominic Pressley,24,3,17,1.0
609,1991,ORL,Mark McNamara,31,2,13,1.0
610,1992,DAL,Joao Vianna,25,1,9,1.0
611,2000,SEA,Fred Vinson,29,8,40,1.0
612,2001,GSW,Chris Garner,25,8,149,1.0
613,2011,POR,Luke Babbitt,21,24,137,1.0
614,2016,POR,Tim Frazier,25,3,11,1.0
615,1983,CHI,Larry Kenon,30,5,25,1.1
616,1997,MIL,Darrin Hancock,25,9,39,1.1
617,2000,DET,Marcus Brown,25,6,45,1.1
618,2001,IND,Terry Mills,33,14,113,1.1
619,2008,IND,Courtney Sims,24,3,11,1.1
620,2008,TOR,Linton Johnson,27,2,10,1.1
621,2010,HOU,Hilton Armstrong,25,9,40,1.1
622,2011,WAS,Mike Bibby,32,2,29,1.1
623,2016,SAS,Ray McCallum,24,4,15,1.1
624,2016,DEN,Erick Green,24,3,7,1.1
625,1996,GSW,Robert Churchwell,23,4,20,1.2
626,2003,BOS,Bruno Sundov,22,26,138,1.2
627,2003,BOS,Ruben Wolkowyski,29,7,24,1.2
628,2005,NYK,Bruno Sundov,24,21,73,1.2
629,2005,DET,Derrick Coleman,37,5,50,1.2
630,2008,LAL,Brian Cook,27,6,70,1.2
631,2011,PHI,Darius Songaila,32,10,71,1.2
632,2014,TOR,D.J. Augustin,26,10,82,1.2
633,2015,PHO,Jerel McNeal,27,6,36,1.2
634,1982,NJN,Joe Cooper,24,1,11,1.3
635,1997,PHO,Tony Dumas,24,6,51,1.3
636,1999,UTA,Anthony Avent,29,5,44,1.3
637,2004,TOR,Michael Bradley,24,5,38,1.3
638,2005,LAL,Kareem Rush,24,14,91,1.3
639,2013,CLE,Chris Quinn,29,7,78,1.3
640,2015,OKC,Steve Novak,31,13,88,1.3
641,1981,UTA,Dick Miller,22,3,19,1.4
642,2003,DAL,Adam Harrington,22,13,37,1.4
643,2010,PHO,Dwayne Jones,26,2,7,1.4
644,1978,NJN,Dave Wohl,28,10,118,1.5
645,1981,HOU,Lee Johnson,23,10,80,1.5
646,1983,BOS,Darren Tillis,22,15,44,1.5
647,1985,UTA,Kenny Natt,26,4,13,1.5
648,1986,LAC,Jeff Cross,24,21,128,1.5
649,1994,GSW,Tod Murphy,30,2,10,1.5
650,1996,HOU,Jaren Jackson,28,4,33,1.5
651,1999,PHI,Rick Mahorn,40,16,127,1.5
652,2003,PHI,Mark Bryant,37,11,77,1.5
653,2004,BOS,Michael Stewart,28,17,71,1.5
654,2005,CHA,Tamar Slay,24,8,78,1.5
655,2007,NYK,Randolph Morris,21,5,44,1.5
656,2008,CHA,Primoz Brezec,28,20,267,1.5
657,2009,ATL,Thomas Gardner,23,16,98,1.5
658,2011,PHO,Earl Barron,29,12,183,1.5
659,2014,CHI,Mike James,38,11,77,1.5
660,2014,LAC,Darius Morris,23,10,54,1.5
661,2014,LAC,Sasha Vujacic,29,2,10,1.5
662,1979,SDC,Stan Pietkiewicz,22,4,32,1.6
663,1982,POR,Dennis Awtrey,33,10,121,1.6
664,1983,WSB,Chubby Cox,27,7,78,1.6
665,1984,SAS,Darrell Lockhart,23,2,14,1.6
666,1994,CHH,Rumeal Robinson,27,14,95,1.6
667,1996,MIA,LeRon Ellis,26,12,74,1.6
668,2002,PHI,Damone Brown,22,17,67,1.6
669,2003,TOR,Damone Brown,23,5,115,1.6
670,2004,LAL,Jannero Pargo,24,13,63,1.6
671,2011,PHI,Jason Kapono,29,24,112,1.6
672,2012,SAS,Justin Dentmon,26,2,19,1.6
673,2015,DET,Cartier Martin,30,23,198,1.6
674,1983,SAS,Jim Johnstone,22,7,54,1.7
675,1988,NYK,Tony White,22,12,117,1.7
676,1992,UTA,Bob Thornton,29,2,6,1.7
677,1993,POR,Delaney Rudd,30,15,95,1.7
678,1995,SAS,Howard Eisley,22,15,56,1.7
679,2001,MIL,Jason Hart,22,1,10,1.7
680,2004,LAC,Randy Livingston,28,4,48,1.7
681,2008,NJN,Jamaal Magloire,29,24,259,1.7
682,2011,OKC,Morris Peterson,33,4,23,1.7
683,2012,ORL,Justin Harper,22,14,84,1.7
684,2014,MIN,Othyus Jeffers,28,2,13,1.7
685,1987,CLE,Dirk Minniefield,26,11,122,1.8
686,1992,LAL,Demetrius Calip,22,7,58,1.8
687,1994,WSB,Tito Horford,28,3,28,1.8
688,1995,MIN,Mike Brown,31,27,213,1.8
689,1996,LAC,Logan Vander Velden,24,15,31,1.8
690,1996,CHI,Jack Haley,32,1,7,1.8
691,2004,MIA,Bimbo Coles,35,22,170,1.8
692,2009,ATL,Randolph Morris,23,23,89,1.8
693,2011,LAC,Jarron Collins,32,23,157,1.8
694,2012,PHI,Andres Nocioni,32,11,56,1.8
695,2012,MIA,Mickell Gladness,25,8,28,1.8
696,2013,PHI,Maalik Wayns,21,21,165,1.8
697,2016,HOU,Chuck Hayes,32,2,24,1.8
698,1981,DET,Norman Black,23,3,28,1.9
699,1982,UTA,Sam Worthen,24,5,22,1.9
700,1988,UTA,Bart Kofoed,23,36,225,1.9
701,1989,ATL,Pace Mannion,28,5,18,1.9
702,1993,CHI,Jo Jo English,22,6,31,1.9
703,1997,ORL,Dell Demps,26,2,10,1.9
704,1999,ORL,Danny Schayes,39,19,143,1.9
705,1999,MIA,Jamie Watson,26,3,18,1.9
706,2001,CHH,Doug Overton,31,2,15,1.9
707,2005,MIL,Reece Gaines,24,11,79,1.9
708,2013,SAC,Tyler Honeycutt,22,9,32,1.9
709,2014,UTA,Jamaal Tinsley,35,8,110,1.9
710,2015,LAC,Dahntay Jones,34,33,123,1.9
711,1978,IND,Willie Smith,24,1,7,2.0
712,1979,SDC,John Olive,23,34,189,2.0
713,1980,ATL,Rick Wilson,23,5,59,2.0
714,1983,KCK,Leon Douglas,28,5,46,2.0
715,1985,DET,David Thirdkill,24,10,115,2.0
716,1986,MIL,Earl Jones,25,12,43,2.0
717,1993,BOS,John Bagley,32,10,97,2.0
718,1994,MIL,Mike Gminski,34,8,54,2.0
719,1995,MIL,Tate George,26,3,8,2.0
720,1996,MIA,Stacey King,29,15,156,2.0
721,2002,GSW,Dean Garrett,35,5,31,2.0
722,2006,CLE,Mike Wilks,26,37,243,2.0
723,2006,NYK,Anfernee Hardaway,34,4,72,2.0
724,2008,NJN,Jason Collins,29,43,684,2.0
725,2008,UTA,Morris Almond,22,9,39,2.0
726,2011,TOR,Solomon Alabi,22,12,59,2.0
727,1980,GSW,Bubba Wilson,24,16,143,2.1
728,1985,KCK,David Pope,22,22,129,2.1
729,1985,LAL,Chuck Nevitt,25,11,59,2.1
730,1986,PHI,Andrew Toney,28,6,84,2.1
731,1991,LAC,Mike Smrek,28,10,70,2.1
732,1993,HOU,Terry Teagle,32,2,25,2.1
733,1994,DEN,Mark Macon,24,7,126,2.1
734,1996,DEN,Rastko Cvetkovic,25,14,48,2.1
735,1998,SAC,Kevin Salvadori,27,16,87,2.1
736,1998,CLE,Greg Graham,27,6,56,2.1
737,2000,TOR,Antonio Lang,27,7,32,2.1
738,2001,DAL,Mark Bryant,35,18,101,2.1
739,2004,ATL,Josh Davis,23,4,23,2.1
740,2006,LAL,Jim Jackson,35,13,92,2.1
741,2011,LAL,Joe Smith,35,12,44,2.1
742,2012,CLE,Christian Eyenga,22,6,83,2.1
743,2014,POR,Earl Watson,34,24,161,2.1
744,2015,CHI,Cameron Bairstow,24,18,64,2.1
745,1985,DET,Sidney Lowe,25,6,31,2.2
746,1986,PHI,Butch Carter,27,4,36,2.2
747,1987,DEN,Pete Williams,21,5,10,2.2
748,1994,ORL,Greg Kite,32,29,309,2.2
749,1994,HOU,Earl Cureton,36,2,30,2.2
750,1998,SEA,Eric Snow,24,17,74,2.2
751,1999,HOU,Matt Maloney,27,15,186,2.2
752,2009,NJN,Maurice Ager,24,20,97,2.2
753,2011,BOS,Avery Bradley,20,31,162,2.2
754,2012,CLE,Luke Walton,31,21,299,2.2
755,2012,CLE,Mychel Thompson,23,5,95,2.2
756,2016,ORL,Mario Hezonja,20,8,118,2.2
757,2016,LAL,Robert Sacre,26,1,4,2.2
758,1988,POR,Nikita Wilson,23,15,54,2.3
759,1988,SAC,Martin Nessley,22,9,41,2.3
760,1998,SEA,George Zidek,24,6,22,2.3
761,2004,DEN,Jeff Trepagnier,24,11,96,2.3
762,2005,CHI,Jared Reiner,22,19,132,2.3
763,2006,DAL,Pavel Podkolzin,21,1,18,2.3
764,2014,CLE,Sergey Karasev,20,22,156,2.3
765,1978,KCK,Louie Nelson,26,8,53,2.4
766,1981,SDC,Tony Price,24,5,29,2.4
767,1991,CHH,Earl Cureton,33,9,159,2.4
768,1996,PHO,Stefano Rusconi,27,7,30,2.4
769,1996,DAL,Reggie Slater,25,3,26,2.4
770,1997,SAS,Joe Courtney,27,5,48,2.4
771,1997,TOR,Brad Lohaus,32,6,45,2.4
772,1997,DET,Randolph Childress,24,4,30,2.4
773,1998,POR,Alton Lister,39,7,44,2.4
774,1998,CHH,Tony Delk,24,3,34,2.4
775,1999,TOR,Negele Knight,31,6,56,2.4
776,2000,TOR,Aleksandar Radojevic,23,3,24,2.4
777,2001,SEA,Pervis Ellison,33,9,40,2.4
778,2003,MEM,Robert Archibald,22,12,72,2.4
779,2004,POR,Tracy Murray,32,7,35,2.4
780,2004,NJN,Anthony Goldwire,32,6,19,2.4
781,2006,CHI,Stephen Graham,23,3,20,2.4
782,2007,CHA,Eric Williams,34,5,33,2.4
783,2008,CLE,Cedric Simmons,22,7,68,2.4
784,2010,SAC,Dominic McGuire,24,10,67,2.4
785,2010,HOU,Brian Cook,29,15,44,2.4
786,2013,POR,Jared Jeffries,31,38,350,2.4
787,2014,UTA,Andris Biedrins,27,6,45,2.4
788,2014,TOR,Austin Daye,25,8,33,2.4
789,2014,CHA,D.J. White,27,2,10,2.4
790,2015,SAC,David Wear,24,2,7,2.4
791,2016,CLE,J.R. Smith,30,4,92,2.4
792,1989,GSW,Jerome Whitehead,32,5,42,2.5
793,1990,CHI,Jeff Sanders,24,31,182,2.5
794,1990,GSW,John Shasky,25,14,51,2.5
795,2003,SAS,Anthony Goldwire,31,10,51,2.5
796,2004,MEM,Dahntay Jones,23,20,154,2.5
797,2005,DEN,Nikoloz Tskitishvili,21,23,158,2.5
798,2005,POR,Ha Seung-Jin,19,19,104,2.5
799,2014,HOU,Josh Powell,31,1,19,2.5
800,2016,MIA,James Ennis,25,3,7,2.5
801,1979,DEN,Geoff Crompton,23,20,88,2.6
802,1981,UTA,John Duren,22,40,458,2.6
803,1984,DAL,Roger Phegley,27,10,76,2.6
804,1987,POR,Perry Young,23,4,52,2.6
805,1987,NJN,Michael Wilson,27,5,43,2.6
806,1990,HOU,Tim McCormick,27,18,116,2.6
807,1995,HOU,Charles Jones,37,3,36,2.6
808,2000,SAC,Ryan Robertson,23,1,25,2.6
809,2003,PHI,Kenny Satterfield,21,17,82,2.6
810,2004,ORL,Britton Johnsen,24,20,290,2.6
811,2008,SAC,Kenny Thomas,30,23,281,2.6
812,2008,DEN,Jelani McCoy,30,6,33,2.6
813,2014,OKC,Hasheem Thabeet,26,23,192,2.6
814,2016,NOP,Nate Robinson,31,2,23,2.6
815,1978,CHI,Jim Ard,29,14,116,2.7
816,1984,SAS,Steve Lingenfelter,25,3,14,2.7
817,1988,NYK,Louis Orr,29,29,180,2.7
818,1989,SAS,Petur Gudmundsson,30,5,70,2.7
819,1992,PHI,Dave Hoppen,27,11,40,2.7
820,1999,PHO,Jimmy Oliver,29,2,11,2.7
821,2000,LAL,John Celestand,22,16,185,2.7
822,2005,NYK,Vin Baker,33,24,191,2.7
823,2012,TOR,Jamaal Magloire,33,34,374,2.7
824,1982,LAL,Kevin McKenna,23,36,237,2.8
825,1997,NJN,Evric Gray,27,5,42,2.8
826,2002,BOS,Joseph Forte,20,8,39,2.8
827,2007,UTA,C.J. Miles,19,37,373,2.8
828,2009,ORL,Jeremy Richardson,24,12,93,2.8
829,2009,NYK,Eddy Curry,26,3,12,2.8
830,2010,CHI,Joe Alexander,23,8,29,2.8
831,2015,BRK,Andrei Kirilenko,33,7,36,2.8
832,1988,LAC,Martin Nessley,22,35,295,2.9
833,1988,POR,Ronnie Murphy,23,18,89,2.9
834,1990,CHH,Mike Holton,28,16,109,2.9
835,1993,GSW,Pat Durham,25,5,78,2.9
836,1998,GSW,Brandon Williams,22,9,140,2.9
837,2003,ORL,Ryan Humphrey,23,35,322,2.9
838,2003,ATL,Antonio Harvey,32,4,32,2.9
839,2005,LAC,Kenny Anderson,34,4,26,2.9
840,2007,DAL,Maurice Ager,22,32,214,2.9
841,2008,SEA,Robert Swift,22,8,98,2.9
842,2009,LAL,Adam Morrison,24,8,44,2.9
843,2009,DEN,Cheikh Samb,24,6,24,2.9
844,2011,NOH,Sasha Pavlovic,27,4,50,2.9
845,2013,WAS,Jason Collins,34,6,54,2.9
846,2013,CHA,Matt Carroll,32,1,6,2.9
847,2014,SAC,Hamady N'Diaye,27,14,74,2.9
848,2015,ATL,Adreian Payne,23,3,19,2.9
849,1979,POR,Kim Anderson,23,21,224,3.0
850,1980,LAL,Ron Boone,33,6,106,3.0
851,1990,DAL,Kelvin Upshaw,27,3,4,3.0
852,1993,SAS,William Bedford,29,16,66,3.0
853,1995,SAS,Chris Whitney,23,25,179,3.0
854,1995,DET,Walter Bond,25,5,51,3.0
855,1997,GSW,Lou Roe,24,17,107,3.0
856,1997,HOU,Joe Stephens,24,2,9,3.0
857,2000,PHI,Stanley Roberts,29,5,51,3.0
858,2000,GSW,Jamel Thomas,26,4,27,3.0
859,2007,NJN,Jason Collins,28,80,1844,3.0
860,2013,BOS,Jason Collins,34,32,330,3.0
861,2013,MIL,Doron Lamb,21,23,280,3.0
862,1982,WSB,Carlos Terry,25,13,60,3.1
863,1985,PHI,Marc Iavaroni,28,12,156,3.1
864,1988,CHI,Elston Turner,28,17,98,3.1
865,1990,SAS,Uwe Blab,27,7,50,3.1
866,1995,PHI,Lloyd Daniels,27,5,63,3.1
867,1996,CLE,John Amaechi,25,28,357,3.1
868,1996,DEN,Greg Grant,29,10,109,3.1
869,1997,ATL,Ken Norman,32,17,220,3.1
870,1999,MIN,Brian Evans,25,5,24,3.1
871,1999,SAC,Peter Aluma,25,2,5,3.1
872,2002,MIA,Sam Mack,31,12,159,3.1
873,2003,UTA,John Amaechi,32,50,474,3.1
874,2004,GSW,Rusty LaRue,30,4,22,3.1
875,2005,WAS,Samaki Walker,28,14,134,3.1
876,2005,GSW,Nikoloz Tskitishvili,21,12,62,3.1
877,2006,MIL,Ervin Johnson,38,18,81,3.1
878,2006,ATL,John Thomas,30,11,66,3.1
879,2007,WAS,Mike Hall,22,2,13,3.1
880,2008,CLE,Eric Snow,34,22,305,3.1
881,2011,MIL,Garrett Temple,24,9,83,3.1
882,2012,OKC,Lazar Hayward,25,26,141,3.1
883,1981,GSW,Tom Abernethy,26,10,39,3.2
884,1983,WSB,Steve Lingenfelter,24,7,53,3.2
885,1986,HOU,Granville Waiters,25,43,156,3.2
886,1990,ORL,Dave Corzine,33,6,79,3.2
887,1991,LAC,Greg Butler,24,9,37,3.2
888,1992,SEA,Quintin Dailey,31,11,98,3.2
889,1992,WSB,Derek Strong,23,1,12,3.2
890,1993,ORL,Lorenzo Williams,23,3,10,3.2
891,1998,ORL,Spud Webb,34,4,34,3.2
892,2001,BOS,Jerome Moiso,22,24,135,3.2
893,2002,CLE,DeSagana Diop,20,18,109,3.2
894,2006,PHO,Jim Jackson,35,27,420,3.2
895,2007,PHO,Jumaine Jones,27,18,138,3.2
896,2008,ORL,Pat Garrity,31,31,284,3.2
897,2010,DAL,DeShawn Stevenson,28,24,267,3.2
898,1980,SAS,Sylvester Norris,22,17,189,3.3
899,1981,DEN,Jawann Oldham,23,4,21,3.3
900,1985,IND,Kenton Edelin,22,10,143,3.3
901,1990,GSW,Uwe Blab,27,40,481,3.3
902,1992,ORL,Morlon Wiley,25,9,90,3.3
903,1994,CHH,Lorenzo Williams,24,1,19,3.3
904,1995,LAC,Bob Martin,25,1,14,3.3
905,1997,DAL,Stevin Smith,25,8,60,3.3
906,2001,CHI,Dalibor Bagaric,20,35,259,3.3
907,2005,TOR,Aaron Williams,33,23,165,3.3
908,2006,BOS,Justin Reed,24,32,291,3.3
909,2007,DEN,Anthony Carter,31,2,37,3.3
910,2009,MIN,Jason Collins,30,31,422,3.3
911,2010,WAS,DeShawn Stevenson,28,40,616,3.3
912,2011,ORL,Malik Allen,32,18,178,3.3
913,2011,OKC,Nate Robinson,26,4,30,3.3
914,2012,DAL,Brian Cardinal,34,44,277,3.3
915,2012,MEM,Josh Selby,20,28,237,3.3
916,2013,CLE,Jon Leuer,23,9,91,3.3
917,2013,MIL,Joel Przybilla,33,12,68,3.3
918,2014,BRK,Tornike Shengelia,22,17,137,3.3
919,2015,LAC,Chris Douglas-Roberts,28,12,103,3.3
920,2015,MIN,Miroslav Raduljica,27,5,23,3.3
921,1978,SAS,George Karl,26,4,30,3.4
922,1986,PHO,Nick Vanos,22,11,202,3.4
923,1989,MIA,Dave Popson,24,7,38,3.4
924,1998,IND,Mark Pope,25,28,193,3.4
925,2001,MIL,Michael Redd,21,6,35,3.4
926,2003,SEA,Joseph Forte,21,17,86,3.4
927,2004,MIL,Joel Przybilla,24,5,33,3.4
928,2004,POR,Ruben Boumtje-Boumtje,25,9,26,3.4
929,2008,SAS,Bobby Jones,24,3,20,3.4
930,2009,DAL,Jerry Stackhouse,34,10,162,3.4
931,2011,LAL,Sasha Vujacic,26,11,54,3.4
932,2012,CHA,Jamario Moon,31,8,123,3.4
933,2013,LAL,Robert Sacre,23,32,203,3.4
934,2013,ORL,Hedo Turkoglu,33,11,189,3.4
935,2014,GSW,Ognjen Kuzmic,23,21,92,3.4
936,1980,KCK,Terry Crosby,23,4,28,3.5
937,1994,SAS,Chris Whitney,22,40,339,3.5
938,1996,CHI,James Edwards,40,28,274,3.5
939,1999,MIA,Keith Askins,31,33,415,3.5
940,1999,MIN,Rasho Nesterovic,22,2,30,3.5
941,2006,NJN,John Thomas,30,2,36,3.5
942,2008,NJN,Trenton Hassell,28,26,310,3.5
943,2011,OKC,Byron Mullens,21,13,85,3.5
944,2014,HOU,Ronnie Brewer,28,23,158,3.5
945,2015,NOP,Nate Wolters,23,10,105,3.5
946,1982,MIL,Geoff Crompton,26,35,203,3.6
947,1984,DEN,Dave Robisch,34,19,141,3.6
948,1989,MIL,Tito Horford,23,25,112,3.6
949,1989,MIL,Andre Turner,24,4,13,3.6
950,1992,LAL,Jack Haley,28,49,394,3.6
951,1992,PHI,Brian Oliver,23,34,279,3.6
952,1993,MIN,Gerald Glass,25,4,71,3.6
953,1996,ORL,Jeff Turner,33,13,192,3.6
954,2000,CHI,Lari Ketner,22,6,41,3.6
955,2003,TOR,Art Long,30,7,80,3.6
956,2004,TOR,Michael Curry,35,70,1229,3.6
957,2004,ATL,Hiram Fuller,22,4,43,3.6
958,2010,BOS,Brian Scalabrine,31,52,472,3.6
959,2011,CHA,Sherron Collins,23,20,66,3.6
960,2012,MIA,Juwan Howard,38,28,190,3.6
961,2012,MIA,Eddy Curry,29,14,83,3.6
962,2015,HOU,Francisco Garcia,33,14,200,3.6
963,2015,DET,Quincy Miller,22,4,58,3.6
964,2015,WAS,Toure' Murry,25,4,17,3.6
965,1980,SAS,Irv Kiffin,28,26,212,3.7
966,1982,CLE,Don Ford,29,21,201,3.7
967,1989,UTA,Bart Kofoed,24,19,176,3.7
968,1996,BOS,Todd Mundt,25,9,33,3.7
969,1997,DAL,Stacey King,30,6,70,3.7
970,2001,NYK,Luc Longley,32,25,301,3.7
971,2001,CLE,Michael Hawkins,28,10,76,3.7
972,2008,ATL,Lorenzen Wright,32,13,148,3.7
973,2009,MIA,Dorell Wright,23,6,73,3.7
974,2009,GSW,Marcus Williams,23,9,54,3.7
975,2010,PHO,Jarron Collins,31,34,261,3.7
976,2011,NJN,Quinton Ross,29,36,353,3.7
977,2012,ATL,Jason Collins,33,30,308,3.7
978,2013,BRK,Kris Joseph,24,4,30,3.7
979,2014,BOS,Chris Babb,23,14,132,3.7
980,2015,PHI,Drew Gordon,24,9,71,3.7
981,2016,DAL,Justin Anderson,22,5,30,3.7
982,1978,DEN,Norm Cook,22,2,10,3.8
983,1986,SEA,Brian Martin,23,3,7,3.8
984,1987,CHI,Perry Young,23,5,20,3.8
985,1990,GSW,Leonard Taylor,23,10,37,3.8
986,1998,BOS,Dontae' Jones,22,15,91,3.8
987,2000,NYK,Mirsad Turkcan,23,7,25,3.8
988,2001,ATL,Tony Smith,32,6,78,3.8
989,2002,NJN,Brandon Armstrong,21,35,196,3.8
990,2002,NYK,Larry Robinson,34,2,10,3.8
991,2003,MIA,Sean Marks,27,23,223,3.8
992,2005,DAL,Didier Ilunga-Mbenga,24,15,58,3.8
993,2006,MEM,John Thomas,30,3,25,3.8
994,2008,SEA,Francisco Elson,31,22,279,3.8
995,2011,POR,Earl Barron,29,2,37,3.8
996,2012,HOU,Marcus Morris,22,17,126,3.8
997,2015,MIL,Johnny O'Bryant,21,34,368,3.8
998,2015,CLE,Lou Amundson,32,12,79,3.8
999,2016,OKC,Nick Collison,35,4,42,3.8
1000,1980,IND,Brad Davis,24,5,43,3.9
1001,1983,CLE,Dave Magley,23,14,56,3.9
1002,1983,PHI,J.J. Anderson,22,13,48,3.9
1003,1985,BOS,Greg Kite,23,55,424,3.9
1004,1990,NYK,Brian Quinnett,23,31,193,3.9
1005,1996,MIL,Eric Mobley,25,5,65,3.9
1006,1998,TOR,Roy Rogers,24,6,69,3.9
1007,1999,NYK,Dennis Scott,30,15,206,3.9
1008,1999,PHO,Marko Milic,21,11,53,3.9
